Time,Lambda,Alpha,Stress_Zhao(kPa),Stress_Integrated(kPa),Phase
0,1,0,0,0,1
1,1.003,0,0.610674,0.610674,1
2,1.006,0,1.23361,1.23361,1
3,1.009,0,1.87332,1.87332,1
4,1.012,0,2.5346,2.5346,1
5,1.015,0,3.22262,3.22262,1
6,1.018,0,3.94301,3.94301,1
7,1.021,0,4.70192,4.70192,1
8,1.024,0,5.50615,5.50615,1
9,1.027,0,6.36328,6.36328,1
10,1.03,0,7.28175,7.28175,1
11,1.033,0,8.27108,8.27108,1
12,1.036,0,9.34202,9.34202,1
13,1.039,0,10.5068,10.5068,1
14,1.042,0,11.7792,11.7792,1
15,1.045,0,13.1753,13.1753,1
16,1.048,0,14.7132,14.7132,1
17,1.051,0,16.414,16.414,1
18,1.054,0,18.3018,18.3018,1
19,1.057,0,20.4047,20.4047,1
20,1.06,0,22.7552,22.7552,1
21,1.063,0,25.3913,25.3913,1
22,1.066,0,28.3571,28.3571,1
23,1.069,0,31.7042,31.7042,1
24,1.072,0,35.4932,35.4932,1
25,1.075,0,39.7952,39.7952,1
26,1.078,0,44.6941,44.6941,1
27,1.081,0,50.2888,50.2888,1
28,1.084,0,56.6965,56.6965,1
29,1.087,0,64.0561,64.0561,1
30,1.09,0,72.5331,72.5331,1
31,1.093,0,82.3245,82.3245,1
32,1.096,0,93.6661,93.6661,1
33,1.099,0,106.84,106.84,1
34,1.102,0,122.187,122.187,1
35,1.105,0,140.114,140.114,1
36,1.108,0,161.116,161.116,1
37,1.111,0,185.79,185.79,1
38,1.114,0,214.864,214.864,1
39,1.117,0,249.22,249.22,1
40,1.12,0,289.939,289.939,1
41,1.123,0,338.343,338.343,1
42,1.126,0,396.052,396.052,1
43,1.129,0,465.067,465.067,1
44,1.132,0,547.853,547.853,1
45,1.135,0,647.465,647.465,1
46,1.138,0,767.7,767.7,1
47,1.141,0,913.284,913.284,1
48,1.144,0,1090.12,1090.12,1
49,1.147,0,1305.63,1305.63,1
50,1.15,0,1569.1,1569.1,1
50,1.15,0,1569.1,1569.1,2
51,1.1472,0,1321.58,1321.58,2
52,1.1444,0,1116.44,1116.44,2
53,1.1416,0,945.938,945.938,2
54,1.1388,0,803.823,803.823,2
55,1.136,0,685.04,685.04,2
56,1.1332,0,585.484,585.484,2
57,1.1304,0,501.816,501.816,2
58,1.1276,0,431.309,431.309,2
59,1.1248,0,371.733,371.733,2
60,1.122,0,321.261,321.261,2
61,1.1192,0,278.389,278.389,2
62,1.1164,0,241.878,241.878,2
63,1.1136,0,210.703,210.703,2
