Step,Lambda,Alpha,Stress_Zhao(kPa),Stress_Integrated(kPa),Phase_Label
0,1,0,0,0,Passive_Load
1,1.003,0,0.54995,0.54995,Passive_Load
2,1.006,0,1.10886,1.10886,Passive_Load
3,1.009,0,1.67838,1.67838,Passive_Load
4,1.012,0,2.26023,2.26023,Passive_Load
5,1.015,0,2.85625,2.85625,Passive_Load
6,1.018,0,3.46834,3.46834,Passive_Load
7,1.021,0,4.09857,4.09857,Passive_Load
8,1.024,0,4.74908,4.74908,Passive_Load
9,1.027,0,5.42221,5.42221,Passive_Load
10,1.03,0,6.12043,6.12043,Passive_Load
11,1.033,0,6.8464,6.8464,Passive_Load
12,1.036,0,7.60296,7.60296,Passive_Load
13,1.039,0,8.3932,8.3932,Passive_Load
14,1.042,0,9.22044,9.22044,Passive_Load
15,1.045,0,10.0883,10.0883,Passive_Load
16,1.048,0,11.0006,11.0006,Passive_Load
17,1.051,0,11.9616,11.9616,Passive_Load
18,1.054,0,12.9759,12.9759,Passive_Load
19,1.057,0,14.0485,14.0485,Passive_Load
20,1.06,0,15.1848,15.1848,Passive_Load
21,1.063,0,16.3909,16.3909,Passive_Load
22,1.066,0,17.6731,17.6731,Passive_Load
23,1.069,0,19.0388,19.0388,Passive_Load
24,1.072,0,20.4956,20.4956,Passive_Load
25,1.075,0,22.0521,22.0521,Passive_Load
26,1.078,0,23.7179,23.7179,Passive_Load
27,1.081,0,25.5032,25.5032,Passive_Load
28,1.084,0,27.4196,27.4196,Passive_Load
29,1.087,0,29.4796,29.4796,Passive_Load
30,1.09,0,31.6972,31.6972,Passive_Load
31,1.093,0,34.0879,34.0879,Passive_Load
32,1.096,0,36.6685,36.6685,Passive_Load
33,1.099,0,39.458,39.458,Passive_Load
34,1.102,0,42.4775,42.4775,Passive_Load
35,1.105,0,45.75,45.75,Passive_Load
36,1.108,0,49.3015,49.3015,Passive_Load
37,1.111,0,53.1607,53.1607,Passive_Load
38,1.114,0,57.3596,57.3596,Passive_Load
39,1.117,0,61.9339,61.9339,Passive_Load
40,1.12,0,66.9236,66.9236,Passive_Load
41,1.123,0,72.373,72.373,Passive_Load
42,1.126,0,78.3322,78.3322,Passive_Load
43,1.129,0,84.8567,84.8567,Passive_Load
44,1.132,0,92.0093,92.0093,Passive_Load
45,1.135,0,99.8601,99.8601,Passive_Load
46,1.138,0,108.488,108.488,Passive_Load
47,1.141,0,117.982,117.982,Passive_Load
48,1.144,0,128.442,128.442,Passive_Load
49,1.147,0,139.98,139.98,Passive_Load
50,1.15,0,152.724,152.724,Passive_Load
51,1.15,0,152.724,152.724,Passive_Unload
52,1.147,0,139.98,139.98,Passive_Unload
53,1.144,0,128.442,128.442,Passive_Unload
54,1.141,0,117.982,117.982,Passive_Unload
55,1.138,0,108.488,108.488,Passive_Unload
56,1.135,0,99.8601,99.8601,Passive_Unload
57,1.132,0,92.0093,92.0093,Passive_Unload
58,1.129,0,84.8567,84.8567,Passive_Unload
59,1.126,0,78.3322,78.3322,Passive_Unload
60,1.123,0,72.373,72.373,Passive_Unload
61,1.12,0,66.9236,66.9236,Passive_Unload
62,1.117,0,61.9339,61.9339,Passive_Unload
63,1.114,0,57.3596,57.3596,Passive_Unload
64,1.111,0,53.1607,53.1607,Passive_Unload
65,1.108,0,49.3015,49.3015,Passive_Unload
66,1.105,0,45.75,45.75,Passive_Unload
67,1.102,0,42.4775,42.4775,Passive_Unload
68,1.099,0,39.458,39.458,Passive_Unload
69,1.096,0,36.6685,36.6685,Passive_Unload
70,1.093,0,34.0879,34.0879,Passive_Unload
71,1.09,0,31.6972,31.6972,Passive_Unload
72,1.087,0,29.4796,29.4796,Passive_Unload
73,1.084,0,27.4196,27.4196,Passive_Unload
74,1.081,0,25.5032,25.5032,Passive_Unload
75,1.078,0,23.7179,23.7179,Passive_Unload
76,1.075,0,22.0521,22.0521,Passive_Unload
77,1.072,0,20.4956,20.4956,Passive_Unload
78,1.069,0,19.0388,19.0388,Passive_Unload
79,1.066,0,17.6731,17.6731,Passive_Unload
80,1.063,0,16.3909,16.3909,Passive_Unload
81,1.06,0,15.1848,15.1848,Passive_Unload
82,1.057,0,14.0485,14.0485,Passive_Unload
83,1.054,0,12.9759,12.9759,Passive_Unload
84,1.051,0,11.9616,11.9616,Passive_Unload
85,1.048,0,11.0006,11.0006,Passive_Unload
86,1.045,0,10.0883,10.0883,Passive_Unload
87,1.042,0,9.22044,9.22044,Passive_Unload
88,1.039,0,8.3932,8.3932,Passive_Unload
89,1.036,0,7.60296,7.60296,Passive_Unload
90,1.033,0,6.8464,6.8464,Passive_Unload
91,1.03,0,6.12043,6.12043,Passive_Unload
92,1.027,0,5.42221,5.42221,Passive_Unload
93,1.024,0,4.74908,4.74908,Passive_Unload
94,1.021,0,4.09857,4.09857,Passive_Unload
95,1.018,0,3.46834,3.46834,Passive_Unload
96,1.015,0,2.85625,2.85625,Passive_Unload
97,1.012,0,2.26023,2.26023,Passive_Unload
98,1.009,0,1.67838,1.67838,Passive_Unload
99,1.006,0,1.10886,1.10886,Passive_Unload
100,1.003,0,0.54995,0.54995,Passive_Unload
101,1,0,-2.66454e-15,-2.66454e-15,Passive_Unload
102,1,0,0,0,Activation
103,1,0.05,0,1.78986,Activation
104,1,0.1,0,3.57973,Activation
105,1,0.15,0,5.36959,Activation
106,1,0.2,0,7.15946,Activation
107,1,0.25,0,8.94932,Activation
108,1,0.3,0,10.7392,Activation
109,1,0.35,0,12.5291,Activation
110,1,0.4,0,14.3189,Activation
111,1,0.45,0,16.1088,Activation
112,1,0.5,0,17.8986,Activation
113,1,0.55,0,19.6885,Activation
114,1,0.6,0,21.4784,Activation
115,1,0.65,0,23.2682,Activation
116,1,0.7,0,25.0581,Activation
117,1,0.75,0,26.848,Activation
118,1,0.8,0,28.6378,Activation
119,1,0.85,0,30.4277,Activation
120,1,0.9,0,32.2176,Activation
121,1,0.95,0,34.0074,Activation
122,1,1,0,35.7973,Activation
