Lambda,Neo_Circ,Neo_Axial,Paetsch_Circ,Paetsch_Axial,Zhao_Circ,Zhao_Axial
1,0,0,0,0,0,0
1.0015,0.179596,0.179596,1.27577,1.49243,0.207004,0.212422
1.003,0.358391,0.358391,2.55896,2.99391,0.413435,0.424314
1.0045,0.536391,0.536391,3.84961,4.50447,0.619323,0.635714
1.006,0.713606,0.713606,5.14775,6.02416,0.8247,0.846658
1.0075,0.890042,0.890042,6.45342,7.55302,1.0296,1.05718
1.009,1.06571,1.06571,7.76665,9.0911,1.23405,1.26733
1.0105,1.24061,1.24061,9.0875,10.6384,1.4381,1.47713
1.012,1.41476,1.41476,10.416,12.1951,1.64176,1.68663
1.0135,1.58816,1.58816,11.7521,13.7611,1.84509,1.89587
1.015,1.76082,1.76082,13.096,15.3364,2.04811,2.10489
1.0165,1.93274,1.93274,14.4477,16.9213,2.25085,2.31373
1.018,2.10394,2.10394,15.8071,18.5155,2.45337,2.52243
1.0195,2.27442,2.27442,17.1744,20.1193,2.65569,2.73105
1.021,2.44419,2.44419,18.5495,21.7327,2.85785,2.93961
1.0225,2.61326,2.61326,19.9325,23.3557,3.0599,3.14818
1.024,2.78163,2.78163,21.3235,24.9883,3.26187,3.35679
1.0255,2.9493,2.9493,22.7224,26.6306,3.46381,3.56551
1.027,3.1163,3.1163,24.1294,28.2826,3.66576,3.77437
1.0285,3.28261,3.28261,25.5444,29.9444,3.86777,3.98343
1.03,3.44826,3.44826,26.9675,31.6161,4.06988,4.19274
1.0315,3.61324,3.61324,28.3987,33.2976,4.27213,4.40236
1.033,3.77757,3.77757,29.8381,34.989,4.47458,4.61235
1.0345,3.94124,3.94124,31.2857,36.6903,4.67728,4.82276
1.036,4.10427,4.10427,32.7415,38.4017,4.88028,5.03366
1.0375,4.26666,4.26666,34.2056,40.1231,5.08363,5.24511
1.039,4.42842,4.42842,35.678,41.8545,5.2874,5.45717
1.0405,4.58956,4.58956,37.1588,43.5961,5.49162,5.66991
1.042,4.75007,4.75007,38.6479,45.3478,5.69637,5.88341
1.0435,4.90998,4.90998,40.1455,47.1098,5.90171,6.09773
1.045,5.06927,5.06927,41.6515,48.882,6.1077,6.31295
1.0465,5.22797,5.22797,43.166,50.6644,6.31441,6.52915
1.048,5.38607,5.38607,44.689,52.4573,6.52191,6.74641
1.0495,5.54358,5.54358,46.2206,54.2605,6.73027,6.96482
1.051,5.7005,5.7005,47.7608,56.0741,6.93955,7.18445
1.0525,5.85685,5.85685,49.3097,57.8982,7.14986,7.40542
1.054,6.01263,6.01263,50.8672,59.7327,7.36125,7.6278
1.0555,6.16784,6.16784,52.4334,61.5779,7.57382,7.85171
1.057,6.32249,6.32249,54.0084,63.4336,7.78765,8.07724
1.0585,6.47658,6.47658,55.5922,65.3,8.00284,8.30451
1.06,6.63013,6.63013,57.1848,67.177,8.21949,8.53362
1.0615,6.78313,6.78313,58.7863,69.0648,8.43768,8.7647
1.063,6.93559,6.93559,60.3967,70.9633,8.65753,8.99787
1.0645,7.08751,7.08751,62.016,72.8726,8.87914,9.23326
1.066,7.23891,7.23891,63.6442,74.7928,9.10264,9.47101
1.0675,7.38979,7.38979,65.2815,76.7238,9.32813,9.71125
1.069,7.54014,7.54014,66.9278,78.6658,9.55575,9.95413
1.0705,7.68999,7.68999,68.5832,80.6188,9.78561,10.1998
1.072,7.83932,7.83932,70.2477,82.5828,10.0179,10.4485
1.0735,7.98815,7.98815,71.9214,84.5579,10.2527,10.7002
1.075,8.13649,8.13649,73.6043,86.544,10.4901,10.9553
1.0765,8.28433,8.28433,75.2964,88.5413,10.7305,11.2139
1.078,8.43168,8.43168,76.9977,90.5498,10.9738,11.4762
1.0795,8.57855,8.57855,78.7084,92.5696,11.2203,11.7424
1.081,8.72494,8.72494,80.4284,94.6006,11.4701,12.0127
1.0825,8.87086,8.87086,82.1577,96.6429,11.7236,12.2874
