Time,Lambda,Alpha,Stress_Analytical(MPa),Stress_IGA(MPa),Stress_NH(MPa),Phase
0,1,0,0,0,0,1_PassiveLoad
0.1,1.0015,0,0.000395293,0.000395293,3.39975e-06,1_PassiveLoad
0.2,1.003,0,0.000793525,0.000793524,6.79952e-06,1_PassiveLoad
0.3,1.0045,0,0.00119471,0.0011947,1.01993e-05,1_PassiveLoad
0.4,1.006,0,0.00159885,0.00159885,1.35992e-05,1_PassiveLoad
0.5,1.0075,0,0.00200596,0.00200596,1.69991e-05,1_PassiveLoad
0.6,1.009,0,0.00241605,0.00241605,2.0399e-05,1_PassiveLoad
0.7,1.0105,0,0.00282914,0.00282913,2.37991e-05,1_PassiveLoad
0.8,1.012,0,0.00324522,0.00324522,2.71993e-05,1_PassiveLoad
0.9,1.0135,0,0.00366432,0.00366432,3.05996e-05,1_PassiveLoad
1,1.015,0,0.00408645,0.00408644,3.4e-05,1_PassiveLoad
1.1,1.0165,0,0.00451161,0.0045116,3.74006e-05,1_PassiveLoad
1.2,1.018,0,0.00493981,0.0049398,4.08013e-05,1_PassiveLoad
1.3,1.0195,0,0.00537107,0.00537106,4.42022e-05,1_PassiveLoad
1.4,1.021,0,0.0058054,0.00580538,4.76034e-05,1_PassiveLoad
1.5,1.0225,0,0.0062428,0.00624278,5.10047e-05,1_PassiveLoad
1.6,1.024,0,0.00668329,0.00668328,5.44062e-05,1_PassiveLoad
1.7,1.0255,0,0.00712688,0.00712686,5.7808e-05,1_PassiveLoad
1.8,1.027,0,0.00757359,0.00757356,6.121e-05,1_PassiveLoad
1.9,1.0285,0,0.00802341,0.00802338,6.46123e-05,1_PassiveLoad
2,1.03,0,0.00847636,0.00847634,6.80148e-05,1_PassiveLoad
2.1,1.0315,0,0.00893246,0.00893243,7.14176e-05,1_PassiveLoad
2.2,1.033,0,0.00939171,0.00939168,7.48208e-05,1_PassiveLoad
2.3,1.0345,0,0.00985412,0.00985409,7.82242e-05,1_PassiveLoad
2.4,1.036,0,0.0103197,0.0103197,8.1628e-05,1_PassiveLoad
2.5,1.0375,0,0.0107885,0.0107884,8.50322e-05,1_PassiveLoad
2.6,1.039,0,0.0112605,0.0112604,8.84366e-05,1_PassiveLoad
2.7,1.0405,0,0.0117356,0.0117356,9.18415e-05,1_PassiveLoad
2.8,1.042,0,0.012214,0.012214,9.52467e-05,1_PassiveLoad
2.9,1.0435,0,0.0126957,0.0126956,9.86523e-05,1_PassiveLoad
3,1.045,0,0.0131805,0.0131805,0.000102058,1_PassiveLoad
3.1,1.0465,0,0.0136687,0.0136686,0.000105465,1_PassiveLoad
3.2,1.048,0,0.01416,0.01416,0.000108872,1_PassiveLoad
3.3,1.0495,0,0.0146547,0.0146546,0.000112279,1_PassiveLoad
3.4,1.051,0,0.0151527,0.0151526,0.000115687,1_PassiveLoad
3.5,1.0525,0,0.0156539,0.0156538,0.000119095,1_PassiveLoad
3.6,1.054,0,0.0161584,0.0161584,0.000122504,1_PassiveLoad
3.7,1.0555,0,0.0166663,0.0166662,0.000125913,1_PassiveLoad
3.8,1.057,0,0.0171775,0.0171774,0.000129323,1_PassiveLoad
3.9,1.0585,0,0.017692,0.0176919,0.000132733,1_PassiveLoad
4,1.06,0,0.0182099,0.0182098,0.000136144,1_PassiveLoad
4.1,1.0615,0,0.0187312,0.0187311,0.000139555,1_PassiveLoad
4.2,1.063,0,0.0192558,0.0192557,0.000142967,1_PassiveLoad
4.3,1.0645,0,0.0197838,0.0197837,0.00014638,1_PassiveLoad
4.4,1.066,0,0.0203152,0.0203151,0.000149793,1_PassiveLoad
4.5,1.0675,0,0.02085,0.0208499,0.000153206,1_PassiveLoad
4.6,1.069,0,0.0213883,0.0213881,0.000156621,1_PassiveLoad
4.7,1.0705,0,0.0219299,0.0219298,0.000160036,1_PassiveLoad
4.8,1.072,0,0.0224751,0.0224749,0.000163451,1_PassiveLoad
4.9,1.0735,0,0.0230236,0.0230235,0.000166867,1_PassiveLoad
5,1.075,0,0.0235756,0.0235755,0.000170284,1_PassiveLoad
5.1,1.0765,0,0.0241311,0.024131,0.000173701,1_PassiveLoad
5.2,1.078,0,0.0246901,0.0246899,0.00017712,1_PassiveLoad
5.3,1.0795,0,0.0252526,0.0252524,0.000180538,1_PassiveLoad
5.4,1.081,0,0.0258186,0.0258184,0.000183958,1_PassiveLoad
5.5,1.0825,0,0.0263881,0.0263879,0.000187378,1_PassiveLoad
5.6,1.084,0,0.0269612,0.026961,0.000190799,1_PassiveLoad
5.7,1.0855,0,0.0275378,0.0275375,0.000194221,1_PassiveLoad
5.8,1.087,0,0.0281179,0.0281177,0.000197643,1_PassiveLoad
5.9,1.0885,0,0.0287016,0.0287014,0.000201066,1_PassiveLoad
6,1.09,0,0.0292889,0.0292887,0.00020449,1_PassiveLoad
6.1,1.0915,0,0.0298798,0.0298796,0.000207915,1_PassiveLoad
6.2,1.093,0,0.0304743,0.030474,0.00021134,1_PassiveLoad
6.3,1.0945,0,0.0310724,0.0310721,0.000214767,1_PassiveLoad
6.4,1.096,0,0.0316741,0.0316738,0.000218194,1_PassiveLoad
6.5,1.0975,0,0.0322795,0.0322792,0.000221622,1_PassiveLoad
6.6,1.099,0,0.0328885,0.0328882,0.000225051,1_PassiveLoad
6.7,1.1005,0,0.0335012,0.0335008,0.00022848,1_PassiveLoad
6.8,1.102,0,0.0341175,0.0341172,0.000231911,1_PassiveLoad
6.9,1.1035,0,0.0347375,0.0347372,0.000235342,1_PassiveLoad
7,1.105,0,0.0353612,0.0353609,0.000238774,1_PassiveLoad
7.1,1.1065,0,0.0359886,0.0359883,0.000242207,1_PassiveLoad
7.2,1.108,0,0.0366198,0.0366194,0.000245641,1_PassiveLoad
7.3,1.1095,0,0.0372547,0.0372543,0.000249076,1_PassiveLoad
7.4,1.111,0,0.0378933,0.0378929,0.000252512,1_PassiveLoad
7.5,1.1125,0,0.0385356,0.0385352,0.000255948,1_PassiveLoad
7.6,1.114,0,0.0391817,0.0391813,0.000259386,1_PassiveLoad
7.7,1.1155,0,0.0398316,0.0398312,0.000262824,1_PassiveLoad
7.8,1.117,0,0.0404853,0.0404849,0.000266264,1_PassiveLoad
7.9,1.1185,0,0.0411428,0.0411424,0.000269704,1_PassiveLoad
8,1.12,0,0.0418041,0.0418037,0.000273146,1_PassiveLoad
8.1,1.1215,0,0.0424692,0.0424688,0.000276588,1_PassiveLoad
8.2,1.123,0,0.0431382,0.0431377,0.000280031,1_PassiveLoad
8.3,1.1245,0,0.043811,0.0438105,0.000283476,1_PassiveLoad
8.4,1.126,0,0.0444877,0.0444872,0.000286921,1_PassiveLoad
8.5,1.1275,0,0.0451682,0.0451677,0.000290368,1_PassiveLoad
8.6,1.129,0,0.0458526,0.0458521,0.000293815,1_PassiveLoad
8.7,1.1305,0,0.0465409,0.0465404,0.000297263,1_PassiveLoad
8.8,1.132,0,0.0472331,0.0472326,0.000300713,1_PassiveLoad
8.9,1.1335,0,0.0479293,0.0479287,0.000304164,1_PassiveLoad
9,1.135,0,0.0486293,0.0486287,0.000307615,1_PassiveLoad
9.1,1.1365,0,0.0493333,0.0493327,0.000311068,1_PassiveLoad
9.2,1.138,0,0.0500413,0.0500407,0.000314522,1_PassiveLoad
9.3,1.1395,0,0.0507532,0.0507526,0.000317977,1_PassiveLoad
9.4,1.141,0,0.0514691,0.0514685,0.000321433,1_PassiveLoad
9.5,1.1425,0,0.052189,0.0521884,0.00032489,1_PassiveLoad
9.6,1.144,0,0.0529129,0.0529122,0.000328348,1_PassiveLoad
9.7,1.1455,0,0.0536408,0.0536401,0.000331807,1_PassiveLoad
9.8,1.147,0,0.0543728,0.054372,0.000335268,1_PassiveLoad
9.9,1.1485,0,0.0551087,0.055108,0.000338729,1_PassiveLoad
10,1.15,0,0.0558488,0.055848,0.000342192,1_PassiveLoad
10.1,1.1485,0,0.053589,0.0535884,0.000338729,2_UnloadAndActivate
10.2,1.147,0,0.0513943,0.0513937,0.000335268,2_UnloadAndActivate
10.3,1.1455,0,0.0492658,0.0492651,0.000331807,2_UnloadAndActivate
10.4,1.144,0,0.0472041,0.0472033,0.000328348,2_UnloadAndActivate
10.5,1.1425,0,0.0452096,0.0452088,0.00032489,2_UnloadAndActivate
10.6,1.141,0,0.0432826,0.0432818,0.000321433,2_UnloadAndActivate
10.7,1.1395,0,0.0414228,0.0414219,0.000317977,2_UnloadAndActivate
10.8,1.138,0,0.0396299,0.039629,0.000314522,2_UnloadAndActivate
10.9,1.1365,0,0.0379033,0.0379024,0.000311068,2_UnloadAndActivate
11,1.135,0,0.0362422,0.0362413,0.000307615,2_UnloadAndActivate
11.1,1.1335,0,0.0346457,0.0346448,0.000304164,2_UnloadAndActivate
11.2,1.132,0,0.0331125,0.0331117,0.000300713,2_UnloadAndActivate
11.3,1.1305,0,0.0316415,0.0316406,0.000297263,2_UnloadAndActivate
11.4,1.129,0,0.0302312,0.0302303,0.000293815,2_UnloadAndActivate
11.5,1.1275,0,0.02888,0.0288792,0.000290368,2_UnloadAndActivate
11.6,1.126,0,0.0275864,0.0275856,0.000286921,2_UnloadAndActivate
11.7,1.1245,0,0.0263487,0.0263479,0.000283476,2_UnloadAndActivate
11.8,1.123,0,0.0251652,0.0251644,0.000280031,2_UnloadAndActivate
11.9,1.1215,0,0.024034,0.0240332,0.000276588,2_UnloadAndActivate
12,1.12,0,0.0229534,0.0229527,0.000273146,2_UnloadAndActivate
12.1,1.1185,0,0.0219216,0.0219209,0.000269704,2_UnloadAndActivate
12.2,1.117,0,0.0209368,0.020936,0.000266264,2_UnloadAndActivate
12.3,1.1155,0,0.019997,0.0199963,0.000262824,2_UnloadAndActivate
12.4,1.114,0,0.0191006,0.0190999,0.000259386,2_UnloadAndActivate
12.5,1.1125,0,0.0182458,0.0182451,0.000255948,2_UnloadAndActivate
12.6,1.111,0,0.0174307,0.0174301,0.000252512,2_UnloadAndActivate
12.7,1.1095,0,0.0166538,0.0166531,0.000249076,2_UnloadAndActivate
12.8,1.108,0,0.0159132,0.0159126,0.000245641,2_UnloadAndActivate
12.9,1.1065,0,0.0152075,0.0152069,0.000242207,2_UnloadAndActivate
13,1.105,0,0.0145349,0.0145343,0.000238774,2_UnloadAndActivate
13.1,1.1035,0,0.013894,0.0138935,0.000235342,2_UnloadAndActivate
13.2,1.102,0,0.0132833,0.0132828,0.000231911,2_UnloadAndActivate
13.3,1.1005,0,0.0127013,0.0127008,0.00022848,2_UnloadAndActivate
13.4,1.099,0,0.0121467,0.0121462,0.000225051,2_UnloadAndActivate
13.5,1.0975,0,0.0116181,0.0116176,0.000221622,2_UnloadAndActivate
13.6,1.096,0,0.0111143,0.0111138,0.000218194,2_UnloadAndActivate
13.7,1.0945,0,0.010634,0.0106335,0.000214767,2_UnloadAndActivate
13.8,1.093,0,0.010176,0.0101756,0.00021134,2_UnloadAndActivate
13.9,1.0915,0,0.00973932,0.00973889,0.000207915,2_UnloadAndActivate
14,1.09,0,0.00932276,0.00932235,0.00020449,2_UnloadAndActivate
14.1,1.0885,0,0.00892535,0.00892495,0.000201066,2_UnloadAndActivate
14.2,1.087,0,0.0085461,0.00854572,0.000197643,2_UnloadAndActivate
14.3,1.0855,0,0.00818408,0.00818371,0.000194221,2_UnloadAndActivate
14.4,1.084,0,0.00783841,0.00783806,0.000190799,2_UnloadAndActivate
14.5,1.0825,0,0.00750825,0.00750791,0.000187378,2_UnloadAndActivate
14.6,1.081,0,0.0071928,0.00719246,0.000183958,2_UnloadAndActivate
14.7,1.0795,0,0.00689128,0.00689097,0.000180538,2_UnloadAndActivate
14.8,1.078,0,0.00660299,0.00660269,0.00017712,2_UnloadAndActivate
14.9,1.0765,0,0.00632724,0.00632694,0.000173701,2_UnloadAndActivate
15,1.075,0,0.00606337,0.00606308,0.000170284,2_UnloadAndActivate
15.1,1.0735,0,0.00581076,0.00581048,0.000166867,2_UnloadAndActivate
15.2,1.072,0,0.00556883,0.00556856,0.000163451,2_UnloadAndActivate
15.3,1.0705,0,0.00533702,0.00533676,0.000160036,2_UnloadAndActivate
15.4,1.069,0,0.00511481,0.00511456,0.000156621,2_UnloadAndActivate
15.5,1.0675,0,0.00490169,0.00490145,0.000153206,2_UnloadAndActivate
15.6,1.066,0,0.00469719,0.00469696,0.000149793,2_UnloadAndActivate
15.7,1.0645,0,0.00450087,0.00450065,0.00014638,2_UnloadAndActivate
15.8,1.063,0,0.00431229,0.00431208,0.000142967,2_UnloadAndActivate
15.9,1.0615,0,0.00413106,0.00413085,0.000139555,2_UnloadAndActivate
16,1.06,0,0.00395678,0.00395658,0.000136144,2_UnloadAndActivate
16.1,1.0585,0.025,0.00795269,0.00795232,0.000132733,2_UnloadAndActivate
16.2,1.057,0.05,0.0126431,0.0126426,0.000129323,2_UnloadAndActivate
16.3,1.0555,0.075,0.0175686,0.017568,0.000125913,2_UnloadAndActivate
16.4,1.054,0.1,0.0224959,0.0224953,0.000122504,2_UnloadAndActivate
16.5,1.0525,0.125,0.0273223,0.0273217,0.000119095,2_UnloadAndActivate
16.6,1.051,0.15,0.0320074,0.0320068,0.000115687,2_UnloadAndActivate
16.7,1.0495,0.175,0.0365392,0.0365387,0.000112279,2_UnloadAndActivate
16.8,1.048,0.2,0.0409176,0.0409172,0.000108872,2_UnloadAndActivate
16.9,1.0465,0.225,0.0451472,0.0451468,0.000105465,2_UnloadAndActivate
17,1.045,0.25,0.0492341,0.0492338,0.000102058,2_UnloadAndActivate
17.1,1.0435,0.275,0.0529265,0.0529262,9.86523e-05,2_UnloadAndActivate
17.2,1.042,0.3,0.055841,0.0558408,9.52467e-05,2_UnloadAndActivate
17.3,1.0405,0.325,0.0587111,0.0587109,9.18415e-05,2_UnloadAndActivate
17.4,1.039,0.35,0.0615359,0.0615357,8.84366e-05,2_UnloadAndActivate
17.5,1.0375,0.375,0.0643145,0.0643142,8.50322e-05,2_UnloadAndActivate
17.6,1.036,0.4,0.0670458,0.0670456,8.1628e-05,2_UnloadAndActivate
17.7,1.0345,0.425,0.0697291,0.0697288,7.82242e-05,2_UnloadAndActivate
17.8,1.033,0.45,0.0723633,0.0723631,7.48208e-05,2_UnloadAndActivate
17.9,1.0315,0.475,0.0749476,0.0749474,7.14176e-05,2_UnloadAndActivate
18,1.03,0.5,0.0774812,0.077481,6.80148e-05,2_UnloadAndActivate
18.1,1.0285,0.525,0.079963,0.0799628,6.46123e-05,2_UnloadAndActivate
18.2,1.027,0.55,0.0823923,0.0823921,6.121e-05,2_UnloadAndActivate
18.3,1.0255,0.575,0.0847682,0.084768,5.7808e-05,2_UnloadAndActivate
18.4,1.024,0.6,0.0870898,0.0870896,5.44062e-05,2_UnloadAndActivate
18.5,1.0225,0.625,0.0893562,0.089356,5.10047e-05,2_UnloadAndActivate
18.6,1.021,0.65,0.0915666,0.0915664,4.76034e-05,2_UnloadAndActivate
18.7,1.0195,0.675,0.0937202,0.09372,4.42022e-05,2_UnloadAndActivate
18.8,1.018,0.7,0.0958161,0.095816,4.08013e-05,2_UnloadAndActivate
18.9,1.0165,0.725,0.0978535,0.0978534,3.74006e-05,2_UnloadAndActivate
19,1.015,0.75,0.0998316,0.0998315,3.4e-05,2_UnloadAndActivate
19.1,1.0135,0.775,0.10175,0.101749,3.05996e-05,2_UnloadAndActivate
19.2,1.012,0.8,0.103607,0.103607,2.71993e-05,2_UnloadAndActivate
19.3,1.0105,0.825,0.105402,0.105402,2.37991e-05,2_UnloadAndActivate
19.4,1.009,0.85,0.107135,0.107135,2.0399e-05,2_UnloadAndActivate
19.5,1.0075,0.875,0.108804,0.108804,1.69991e-05,2_UnloadAndActivate
19.6,1.006,0.9,0.11041,0.11041,1.35992e-05,2_UnloadAndActivate
19.7,1.0045,0.925,0.11195,0.11195,1.01993e-05,2_UnloadAndActivate
19.8,1.003,0.95,0.113409,0.113409,6.79952e-06,2_UnloadAndActivate
19.9,1.0015,0.975,0.114784,0.114784,3.39975e-06,2_UnloadAndActivate
20,1,1,0.116077,0.116077,0,2_UnloadAndActivate
20.1,1.0015,1,0.117669,0.117669,3.39975e-06,3_ActiveReload
20.2,1.003,1,0.119253,0.119253,6.79952e-06,3_ActiveReload
20.3,1.0045,1,0.12083,0.12083,1.01993e-05,3_ActiveReload
