Time,Lambda,Alpha,Stress_Model(MPa),Stress_NH(MPa),Phase
0,1,0,0,0,1_PassiveLoad
0.1,1.0015,0,0.000395293,3.39975e-06,1_PassiveLoad
0.2,1.003,0,0.000793525,6.79952e-06,1_PassiveLoad
0.3,1.0045,0,0.00119471,1.01993e-05,1_PassiveLoad
0.4,1.006,0,0.00159885,1.35992e-05,1_PassiveLoad
0.5,1.0075,0,0.00200596,1.69991e-05,1_PassiveLoad
0.6,1.009,0,0.00241605,2.0399e-05,1_PassiveLoad
0.7,1.0105,0,0.00282914,2.37991e-05,1_PassiveLoad
0.8,1.012,0,0.00324522,2.71993e-05,1_PassiveLoad
0.9,1.0135,0,0.00366432,3.05996e-05,1_PassiveLoad
1,1.015,0,0.00408645,3.4e-05,1_PassiveLoad
1.1,1.0165,0,0.00451161,3.74006e-05,1_PassiveLoad
1.2,1.018,0,0.00493981,4.08013e-05,1_PassiveLoad
1.3,1.0195,0,0.00537107,4.42022e-05,1_PassiveLoad
1.4,1.021,0,0.0058054,4.76034e-05,1_PassiveLoad
1.5,1.0225,0,0.0062428,5.10047e-05,1_PassiveLoad
1.6,1.024,0,0.00668329,5.44062e-05,1_PassiveLoad
1.7,1.0255,0,0.00712688,5.7808e-05,1_PassiveLoad
1.8,1.027,0,0.00757359,6.121e-05,1_PassiveLoad
1.9,1.0285,0,0.00802341,6.46123e-05,1_PassiveLoad
2,1.03,0,0.00847636,6.80148e-05,1_PassiveLoad
2.1,1.0315,0,0.00893246,7.14176e-05,1_PassiveLoad
2.2,1.033,0,0.00939171,7.48208e-05,1_PassiveLoad
2.3,1.0345,0,0.00985412,7.82242e-05,1_PassiveLoad
2.4,1.036,0,0.0103197,8.1628e-05,1_PassiveLoad
2.5,1.0375,0,0.0107885,8.50322e-05,1_PassiveLoad
2.6,1.039,0,0.0112605,8.84366e-05,1_PassiveLoad
2.7,1.0405,0,0.0117356,9.18415e-05,1_PassiveLoad
2.8,1.042,0,0.012214,9.52467e-05,1_PassiveLoad
2.9,1.0435,0,0.0126957,9.86523e-05,1_PassiveLoad
3,1.045,0,0.0131805,0.000102058,1_PassiveLoad
3.1,1.0465,0,0.0136687,0.000105465,1_PassiveLoad
3.2,1.048,0,0.01416,0.000108872,1_PassiveLoad
3.3,1.0495,0,0.0146547,0.000112279,1_PassiveLoad
3.4,1.051,0,0.0151527,0.000115687,1_PassiveLoad
3.5,1.0525,0,0.0156539,0.000119095,1_PassiveLoad
3.6,1.054,0,0.0161584,0.000122504,1_PassiveLoad
3.7,1.0555,0,0.0166663,0.000125913,1_PassiveLoad
3.8,1.057,0,0.0171775,0.000129323,1_PassiveLoad
3.9,1.0585,0,0.017692,0.000132733,1_PassiveLoad
4,1.06,0,0.0182099,0.000136144,1_PassiveLoad
4.1,1.0615,0,0.0187312,0.000139555,1_PassiveLoad
4.2,1.063,0,0.0192558,0.000142967,1_PassiveLoad
4.3,1.0645,0,0.0197838,0.00014638,1_PassiveLoad
4.4,1.066,0,0.0203152,0.000149793,1_PassiveLoad
4.5,1.0675,0,0.02085,0.000153206,1_PassiveLoad
4.6,1.069,0,0.0213883,0.000156621,1_PassiveLoad
4.7,1.0705,0,0.0219299,0.000160036,1_PassiveLoad
4.8,1.072,0,0.0224751,0.000163451,1_PassiveLoad
4.9,1.0735,0,0.0230236,0.000166867,1_PassiveLoad
5,1.075,0,0.0235756,0.000170284,1_PassiveLoad
5.1,1.0765,0,0.0241311,0.000173701,1_PassiveLoad
5.2,1.078,0,0.0246901,0.00017712,1_PassiveLoad
5.3,1.0795,0,0.0252526,0.000180538,1_PassiveLoad
5.4,1.081,0,0.0258186,0.000183958,1_PassiveLoad
5.5,1.0825,0,0.0263881,0.000187378,1_PassiveLoad
5.6,1.084,0,0.0269612,0.000190799,1_PassiveLoad
5.7,1.0855,0,0.0275378,0.000194221,1_PassiveLoad
5.8,1.087,0,0.0281179,0.000197643,1_PassiveLoad
5.9,1.0885,0,0.0287016,0.000201066,1_PassiveLoad
6,1.09,0,0.0292889,0.00020449,1_PassiveLoad
6.1,1.0915,0,0.0298798,0.000207915,1_PassiveLoad
6.2,1.093,0,0.0304743,0.00021134,1_PassiveLoad
6.3,1.0945,0,0.0310724,0.000214767,1_PassiveLoad
6.4,1.096,0,0.0316741,0.000218194,1_PassiveLoad
6.5,1.0975,0,0.0322795,0.000221622,1_PassiveLoad
6.6,1.099,0,0.0328885,0.000225051,1_PassiveLoad
6.7,1.1005,0,0.0335012,0.00022848,1_PassiveLoad
6.8,1.102,0,0.0341175,0.000231911,1_PassiveLoad
6.9,1.1035,0,0.0347375,0.000235342,1_PassiveLoad
7,1.105,0,0.0353612,0.000238774,1_PassiveLoad
7.1,1.1065,0,0.0359886,0.000242207,1_PassiveLoad
7.2,1.108,0,0.0366198,0.000245641,1_PassiveLoad
7.3,1.1095,0,0.0372547,0.000249076,1_PassiveLoad
