Time,Stretch,Alpha,Stress,Energy_W0
0,1,0,0,0
0.001,1.00015,0,39.3973,0.00295414
0.002,1.0003,0,78.824,0.0118183
0.003,1.00045,0,118.28,0.0265951
0.004,1.0006,0,157.765,0.0472872
0.005,1.00075,0,197.28,0.0738972
0.006,1.0009,0,236.824,0.106428
0.007,1.00105,0,276.397,0.144881
0.008,1.0012,0,316,0.189261
0.009,1.00135,0,355.632,0.239568
0.01,1.0015,0,395.293,0.295807
0.011,1.00165,0,434.984,0.35798
0.012,1.0018,0,474.704,0.426088
0.013,1.00195,0,514.453,0.500136
0.014,1.0021,0,554.232,0.580125
0.015,1.00225,0,594.041,0.666058
0.016,1.0024,0,633.879,0.757938
0.017,1.00255,0,673.746,0.855767
0.018,1.0027,0,713.643,0.959548
0.019,1.00285,0,753.569,1.06928
0.02,1.003,0,793.525,1.18498
0.021,1.00315,0,833.51,1.30663
0.022,1.0033,0,873.524,1.43425
0.023,1.00345,0,913.569,1.56783
0.024,1.0036,0,953.642,1.70738
0.025,1.00375,0,993.746,1.85289
0.026,1.0039,0,1033.88,2.00439
0.027,1.00405,0,1074.04,2.16185
0.028,1.0042,0,1114.23,2.3253
0.029,1.00435,0,1154.45,2.49473
0.03,1.0045,0,1194.71,2.67014
0.031,1.00465,0,1234.99,2.85153
0.032,1.0048,0,1275.3,3.03892
0.033,1.00495,0,1315.64,3.2323
0.034,1.0051,0,1356.01,3.43167
0.035,1.00525,0,1396.41,3.63703
0.036,1.0054,0,1436.83,3.8484
0.037,1.00555,0,1477.29,4.06577
0.038,1.0057,0,1517.78,4.28914
0.039,1.00585,0,1558.3,4.51852
0.04,1.006,0,1598.85,4.75392
0.041,1.00615,0,1639.42,4.99532
0.042,1.0063,0,1680.03,5.24274
0.043,1.00645,0,1720.67,5.49617
0.044,1.0066,0,1761.33,5.75563
0.045,1.00675,0,1802.03,6.02111
0.046,1.0069,0,1842.76,6.29262
0.047,1.00705,0,1883.51,6.57015
0.048,1.0072,0,1924.3,6.85371
0.049,1.00735,0,1965.11,7.14331
0.05,1.0075,0,2005.96,7.43895
0.051,1.00765,0,2046.83,7.74062
0.052,1.0078,0,2087.74,8.04834
0.053,1.00795,0,2128.67,8.3621
0.054,1.0081,0,2169.64,8.6819
0.055,1.00825,0,2210.63,9.00776
0.056,1.0084,0,2251.66,9.33967
0.057,1.00855,0,2292.71,9.67763
0.058,1.0087,0,2333.79,10.0216
0.059,1.00885,0,2374.91,10.3717
0.06,1.009,0,2416.05,10.7279
0.061,1.00915,0,2457.22,11.0901
0.062,1.0093,0,2498.43,11.4584
0.063,1.00945,0,2539.66,11.8327
0.064,1.0096,0,2580.93,12.2131
0.065,1.00975,0,2622.22,12.5996
0.066,1.0099,0,2663.54,12.9922
0.067,1.01005,0,2704.9,13.3908
0.068,1.0102,0,2746.28,13.7956
0.069,1.01035,0,2787.69,14.2064
0.07,1.0105,0,2829.14,14.6233
0.071,1.01065,0,2870.61,15.0463
0.072,1.0108,0,2912.11,15.4754
0.073,1.01095,0,2953.65,15.9106
0.074,1.0111,0,2995.21,16.3519
0.075,1.01125,0,3036.8,16.7993
0.076,1.0114,0,3078.43,17.2528
0.077,1.01155,0,3120.08,17.7125
0.078,1.0117,0,3161.76,18.1782
0.079,1.01185,0,3203.48,18.65
0.08,1.012,0,3245.22,19.128
0.081,1.01215,0,3287,19.612
0.082,1.0123,0,3328.8,20.1022
0.083,1.01245,0,3370.64,20.5985
0.084,1.0126,0,3412.5,21.101
0.085,1.01275,0,3454.4,21.6096
0.086,1.0129,0,3496.32,22.1243
0.087,1.01305,0,3538.28,22.6451
0.088,1.0132,0,3580.26,23.1721
0.089,1.01335,0,3622.28,23.7052
0.09,1.0135,0,3664.32,24.2444
0.091,1.01365,0,3706.4,24.7898
0.092,1.0138,0,3748.51,25.3414
0.093,1.01395,0,3790.64,25.8991
0.094,1.0141,0,3832.81,26.4629
0.095,1.01425,0,3875.01,27.0329
0.096,1.0144,0,3917.23,27.6091
0.097,1.01455,0,3959.49,28.1914
0.098,1.0147,0,4001.78,28.7799
0.099,1.01485,0,4044.1,29.3746
0.1,1.015,0,4086.45,29.9754
0.101,1.01515,0,4128.83,30.5824
0.102,1.0153,0,4171.24,31.1956
0.103,1.01545,0,4213.68,31.8149
0.104,1.0156,0,4256.15,32.4404
0.105,1.01575,0,4298.65,33.0721
0.106,1.0159,0,4341.18,33.71
0.107,1.01605,0,4383.74,34.3541
0.108,1.0162,0,4426.33,35.0044
0.109,1.01635,0,4468.95,35.6608
0.11,1.0165,0,4511.61,36.3235
0.111,1.01665,0,4554.29,36.9923
0.112,1.0168,0,4597,37.6674
0.113,1.01695,0,4639.75,38.3487
0.114,1.0171,0,4682.52,39.0361
0.115,1.01725,0,4725.33,39.7298
0.116,1.0174,0,4768.16,40.4297
0.117,1.01755,0,4811.03,41.1358
0.118,1.0177,0,4853.92,41.8481
0.119,1.01785,0,4896.85,42.5666
0.12,1.018,0,4939.81,43.2914
0.121,1.01815,0,4982.8,44.0224
0.122,1.0183,0,5025.82,44.7596
0.123,1.01845,0,5068.87,45.503
0.124,1.0186,0,5111.95,46.2527
0.125,1.01875,0,5155.06,47.0086
0.126,1.0189,0,5198.2,47.7708
0.127,1.01905,0,5241.37,48.5391
0.128,1.0192,0,5284.57,49.3138
0.129,1.01935,0,5327.81,50.0947
0.13,1.0195,0,5371.07,50.8818
0.131,1.01965,0,5414.36,51.6752
0.132,1.0198,0,5457.69,52.4748
0.133,1.01995,0,5501.04,53.2807
0.134,1.0201,0,5544.43,54.0928
0.135,1.02025,0,5587.85,54.9112
0.136,1.0204,0,5631.3,55.7359
0.137,1.02055,0,5674.78,56.5668
0.138,1.0207,0,5718.28,57.4041
0.139,1.02085,0,5761.82,58.2475
0.14,1.021,0,5805.4,59.0973
0.141,1.02115,0,5849,59.9533
0.142,1.0213,0,5892.63,60.8157
0.143,1.02145,0,5936.29,61.6843
0.144,1.0216,0,5979.99,62.5591
0.145,1.02175,0,6023.71,63.4403
0.146,1.0219,0,6067.47,64.3278
0.147,1.02205,0,6111.25,65.2216
0.148,1.0222,0,6155.07,66.1216
0.149,1.02235,0,6198.92,67.028
0.15,1.0225,0,6242.8,67.9406
0.151,1.02265,0,6286.71,68.8596
0.152,1.0228,0,6330.65,69.7849
0.153,1.02295,0,6374.62,70.7165
0.154,1.0231,0,6418.63,71.6544
0.155,1.02325,0,6462.66,72.5986
0.156,1.0234,0,6506.72,73.5491
0.157,1.02355,0,6550.82,74.506
0.158,1.0237,0,6594.95,75.4691
0.159,1.02385,0,6639.1,76.4386
0.16,1.024,0,6683.29,77.4145
0.161,1.02415,0,6727.51,78.3966
0.162,1.0243,0,6771.76,79.3851
0.163,1.02445,0,6816.04,80.38
0.164,1.0246,0,6860.36,81.3812
0.165,1.02475,0,6904.7,82.3887
0.166,1.0249,0,6949.07,83.4025
0.167,1.02505,0,6993.48,84.4227
0.168,1.0252,0,7037.92,85.4493
0.169,1.02535,0,7082.39,86.4822
0.17,1.0255,0,7126.88,87.5215
0.171,1.02565,0,7171.41,88.5671
0.172,1.0258,0,7215.98,89.6191
0.173,1.02595,0,7260.57,90.6775
0.174,1.0261,0,7305.19,91.7422
0.175,1.02625,0,7349.85,92.8133
0.176,1.0264,0,7394.53,93.8907
0.177,1.02655,0,7439.25,94.9746
0.178,1.0267,0,7484,96.0648
0.179,1.02685,0,7528.78,97.1614
0.18,1.027,0,7573.59,98.2644
0.181,1.02715,0,7618.43,99.3737
0.182,1.0273,0,7663.3,100.489
0.183,1.02745,0,7708.2,101.612
0.184,1.0276,0,7753.14,102.74
0.185,1.02775,0,7798.11,103.875
0.186,1.0279,0,7843.1,105.016
0.187,1.02805,0,7888.13,106.164
0.188,1.0282,0,7933.19,107.318
0.189,1.02835,0,7978.29,108.479
0.19,1.0285,0,8023.41,109.646
0.191,1.02865,0,8068.56,110.819
0.192,1.0288,0,8113.75,111.999
0.193,1.02895,0,8158.97,113.185
0.194,1.0291,0,8204.21,114.378
0.195,1.02925,0,8249.49,115.577
0.196,1.0294,0,8294.8,116.782
0.197,1.02955,0,8340.15,117.994
0.198,1.0297,0,8385.52,119.213
0.199,1.02985,0,8430.93,120.437
0.2,1.03,0,8476.36,121.669
0.201,1.03015,0,8521.83,122.906
0.202,1.0303,0,8567.33,124.15
0.203,1.03045,0,8612.86,125.401
0.204,1.0306,0,8658.42,126.658
0.205,1.03075,0,8704.02,127.921
0.206,1.0309,0,8749.64,129.191
0.207,1.03105,0,8795.3,130.467
0.208,1.0312,0,8840.99,131.75
0.209,1.03135,0,8886.71,133.039
0.21,1.0315,0,8932.46,134.335
0.211,1.03165,0,8978.24,135.637
0.212,1.0318,0,9024.06,136.946
0.213,1.03195,0,9069.9,138.261
0.214,1.0321,0,9115.78,139.583
0.215,1.03225,0,9161.69,140.911
0.216,1.0324,0,9207.63,142.245
0.217,1.03255,0,9253.6,143.586
0.218,1.0327,0,9299.61,144.934
0.219,1.03285,0,9345.64,146.288
0.22,1.033,0,9391.71,147.648
0.221,1.03315,0,9437.81,149.015
0.222,1.0333,0,9483.94,150.389
0.223,1.03345,0,9530.1,151.769
0.224,1.0336,0,9576.29,153.155
0.225,1.03375,0,9622.52,154.548
0.226,1.0339,0,9668.78,155.948
0.227,1.03405,0,9715.07,157.354
0.228,1.0342,0,9761.39,158.766
0.229,1.03435,0,9807.74,160.186
0.23,1.0345,0,9854.12,161.611
0.231,1.03465,0,9900.54,163.043
0.232,1.0348,0,9946.99,164.482
0.233,1.03495,0,9993.47,165.927
0.234,1.0351,0,10040,167.379
0.235,1.03525,0,10086.5,168.837
0.236,1.0354,0,10133.1,170.302
0.237,1.03555,0,10179.7,171.773
0.238,1.0357,0,10226.3,173.251
0.239,1.03585,0,10273,174.735
0.24,1.036,0,10319.7,176.226
0.241,1.03615,0,10366.4,177.723
0.242,1.0363,0,10413.2,179.227
0.243,1.03645,0,10460,180.738
0.244,1.0366,0,10506.8,182.255
0.245,1.03675,0,10553.7,183.779
0.246,1.0369,0,10600.6,185.309
0.247,1.03705,0,10647.5,186.846
0.248,1.0372,0,10694.5,188.389
0.249,1.03735,0,10741.5,189.939
0.25,1.0375,0,10788.5,191.495
0.251,1.03765,0,10835.5,193.058
0.252,1.0378,0,10882.6,194.628
0.253,1.03795,0,10929.7,196.204
0.254,1.0381,0,10976.9,197.787
0.255,1.03825,0,11024.1,199.376
0.256,1.0384,0,11071.3,200.972
0.257,1.03855,0,11118.5,202.575
0.258,1.0387,0,11165.8,204.184
0.259,1.03885,0,11213.1,205.8
0.26,1.039,0,11260.5,207.422
0.261,1.03915,0,11307.8,209.051
0.262,1.0393,0,11355.2,210.687
0.263,1.03945,0,11402.7,212.329
0.264,1.0396,0,11450.1,213.978
0.265,1.03975,0,11497.6,215.633
0.266,1.0399,0,11545.2,217.295
0.267,1.04005,0,11592.7,218.964
0.268,1.0402,0,11640.3,220.639
0.269,1.04035,0,11688,222.321
0.27,1.0405,0,11735.6,224.01
