Phase,Stretch,Alpha,Stress,Energy
Loading,1,0,0,0
Loading,1.0015,0,395.293,0.295807
Loading,1.003,0,793.525,1.18498
Loading,1.0045,0,1194.71,2.67014
Loading,1.006,0,1598.85,4.75392
Loading,1.0075,0,2005.96,7.43895
Loading,1.009,0,2416.05,10.7279
Loading,1.0105,0,2829.14,14.6233
Loading,1.012,0,3245.22,19.128
Loading,1.0135,0,3664.32,24.2444
Loading,1.015,0,4086.45,29.9754
Loading,1.0165,0,4511.61,36.3235
Loading,1.018,0,4939.81,43.2914
Loading,1.0195,0,5371.07,50.8818
Loading,1.021,0,5805.4,59.0973
Loading,1.0225,0,6242.8,67.9406
Loading,1.024,0,6683.29,77.4145
Loading,1.0255,0,7126.88,87.5215
Loading,1.027,0,7573.59,98.2644
Loading,1.0285,0,8023.41,109.646
Loading,1.03,0,8476.36,121.669
Loading,1.0315,0,8932.46,134.335
Loading,1.033,0,9391.71,147.648
Loading,1.0345,0,9854.12,161.611
Loading,1.036,0,10319.7,176.226
Loading,1.0375,0,10788.5,191.495
Loading,1.039,0,11260.5,207.422
Loading,1.0405,0,11735.6,224.01
Loading,1.042,0,12214,241.26
Loading,1.0435,0,12695.7,259.176
Loading,1.045,0,13180.5,277.76
Loading,1.0465,0,13668.7,297.015
Loading,1.048,0,14160,316.945
Loading,1.0495,0,14654.7,337.551
Loading,1.051,0,15152.7,358.836
Loading,1.0525,0,15653.9,380.804
Loading,1.054,0,16158.4,403.456
Loading,1.0555,0,16666.3,426.797
Loading,1.057,0,17177.5,450.827
Loading,1.0585,0,17692,475.551
Loading,1.06,0,18209.9,500.971
Loading,1.0615,0,18731.2,527.09
Loading,1.063,0,19255.8,553.91
Loading,1.0645,0,19783.8,581.434
Loading,1.066,0,20315.2,609.666
Loading,1.0675,0,20850,638.607
Loading,1.069,0,21388.3,668.262
Loading,1.0705,0,21929.9,698.632
Loading,1.072,0,22475.1,729.72
Loading,1.0735,0,23023.6,761.529
Loading,1.075,0,23575.6,794.062
Loading,1.0765,0,24131.1,827.323
Loading,1.078,0,24690.1,861.312
Loading,1.0795,0,25252.6,896.034
Loading,1.081,0,25818.6,931.492
Loading,1.0825,0,26388.1,967.687
Loading,1.084,0,26961.2,1004.62
Loading,1.0855,0,27537.8,1042.3
Loading,1.087,0,28117.9,1080.73
Loading,1.0885,0,28701.6,1119.91
Loading,1.09,0,29288.9,1159.84
Loading,1.0915,0,29879.8,1200.52
Loading,1.093,0,30474.3,1241.96
Loading,1.0945,0,31072.4,1284.17
Loading,1.096,0,31674.1,1327.13
Loading,1.0975,0,32279.5,1370.87
Loading,1.099,0,32888.5,1415.37
Loading,1.1005,0,33501.2,1460.64
Loading,1.102,0,34117.5,1506.69
Loading,1.1035,0,34737.5,1553.52
Loading,1.105,0,35361.2,1601.13
