Stretch,Sim_Theta,Analyt_Theta,Sim_Axial,Analyt_Axial,NeoHookean
1.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00500,7.79977,7.80011,8.85238,8.85272,2.47451
1.01000,15.92716,15.92785,18.10428,18.10497,4.91284
1.01500,24.64836,24.64941,28.07426,28.07533,7.31619
1.02000,34.28401,34.28544,39.14613,39.14760,9.68569
1.02500,45.23722,45.23906,51.80245,51.80435,12.02244
1.03000,58.03179,58.03408,66.67033,66.67272,14.32752
1.03500,73.36566,73.36846,84.58546,84.58841,16.60195
1.04000,92.18753,92.19093,106.68385,106.68746,18.84673
1.04500,115.80826,115.81238,134.53528,134.53970,21.06283
1.05000,146.06522,146.07023,170.34007,170.34551,23.25117
1.05500,185.56766,185.57383,217.22303,217.22980,25.41267
1.06000,238.06760,238.07529,279.67758,279.68613,27.54818
1.06500,309.02678,309.03654,364.24483,364.25581,29.65855
1.07000,406.49388,406.50652,480.56411,480.57850,31.74460
1.07500,542.47780,542.49455,643.01774,643.03702,33.80711
1.08000,735.12404,735.14675,873.33754,873.36391,35.84686
1.08500,1012.20691,1012.23842,1204.78729,1204.82417,37.86457
1.09000,1416.80527,1416.85000,1688.96028,1689.01296,39.86097
1.09500,2016.64823,2016.71313,2406.97220,2407.04898,41.83675
1.10000,2919.71162,2919.80776,3488.14024,3488.25439,43.79258
