Lambda,Passive_Stress(kPa),Total_Stress(kPa),Active_Stress(kPa)
0.7,-9.38571,43.4531,52.8388
0.707,-9.14578,44.9182,54.0639
0.714,-8.90764,46.3875,55.2952
0.721,-8.67122,47.8604,56.5317
0.728,-8.43642,49.3363,57.7727
0.735,-8.20319,50.8142,59.0174
0.742,-7.97145,52.2936,60.265
0.749,-7.74112,53.7736,61.5147
0.756,-7.51215,55.2534,62.7655
0.763,-7.28447,56.7323,64.0168
0.77,-7.05801,58.2094,65.2674
0.777,-6.83272,59.6839,66.5166
0.784,-6.60854,61.155,67.7635
0.791,-6.38542,62.6217,69.0071
0.798,-6.16329,64.0832,70.2465
0.805,-5.94211,65.5387,71.4808
0.812,-5.72183,66.9872,72.709
0.819,-5.5024,68.4278,73.9302
0.826,-5.28378,69.8595,75.1433
0.833,-5.06591,71.2816,76.3475
0.84,-4.84876,72.693,77.5418
0.847,-4.63229,74.0928,78.7251
0.854,-4.41644,75.4802,79.8966
0.861,-4.20119,76.8541,81.0553
0.868,-3.9865,78.2136,82.2001
0.875,-3.77232,79.5578,83.3302
0.882,-3.55863,80.8859,84.4445
0.889,-3.34538,82.1967,85.5421
0.896,-3.13255,83.4896,86.6221
0.903,-2.92011,84.7634,87.6836
0.91,-2.70801,86.0175,88.7255
0.917,-2.49624,87.2507,89.747
0.924,-2.28475,88.4624,90.7471
0.931,-2.07353,89.6516,91.7251
0.938,-1.86254,90.8174,92.68
0.945,-1.65176,91.9591,93.6109
0.952,-1.44116,93.0759,94.517
0.959,-1.23072,94.1668,95.3975
0.966,-1.02041,95.2313,96.2517
0.973,-0.810202,96.2684,97.0786
0.98,-0.600082,97.2775,97.8776
0.987,-0.390022,98.2579,98.6479
0.994,-0.180002,99.2088,99.3888
1.001,0.230516,100.33,100.1
1.008,1.88066,102.66,100.78
1.015,3.6213,105.05,101.429
1.022,5.49396,107.539,102.046
1.029,7.54727,110.177,102.63
1.036,9.83962,113.021,103.181
1.043,12.4424,116.141,103.699
1.05,15.4443,119.627,104.183
1.057,18.9569,123.589,104.632
1.064,23.1225,128.169,105.047
1.071,28.1239,133.55,105.426
1.078,34.1986,139.968,105.77
1.085,41.6575,147.735,106.078
1.092,50.911,157.261,106.35
1.099,62.5054,169.09,106.585
1.106,77.1734,183.957,106.784
1.113,95.9061,202.852,106.946
1.12,120.054,227.126,107.072
1.127,151.476,258.636,107.16
1.134,192.744,299.956,107.212
1.141,247.459,354.685,107.227
1.148,320.697,427.902,107.205
1.155,419.685,526.831,107.146
1.162,554.803,661.853,107.05
1.169,741.101,848.02,106.918
1.176,1000.62,1107.37,106.75
1.183,1365.95,1472.49,106.545
1.19,1885.77,1992.07,106.305
1.197,2633.56,2739.59,106.029
1.204,3721.43,3827.15,105.717
1.211,5322.26,5427.63,105.371
1.218,7705.62,7810.61,104.99
1.225,11296.7,11401.3,104.575
1.232,16774,16878.1,104.127
1.239,25232.7,25336.3,103.645
1.246,38462.8,38566,103.131
1.253,59425.8,59528.4,102.584
1.26,93082.9,93184.9,102.006
1.267,147853,147955,101.397
1.274,238212,238313,100.758
1.281,389379,389479,100.089
1.288,645895,645994,99.3909
1.295,1.08752e+06,1.08762e+06,98.6648
1.302,1.85909e+06,1.85919e+06,97.911
1.309,3.22745e+06,3.22755e+06,97.1305
1.316,5.69135e+06,5.69145e+06,96.324
1.323,1.0197e+07,1.01971e+07,95.4921
1.33,1.85667e+07,1.85668e+07,94.6359
1.337,3.4364e+07,3.43641e+07,93.756
1.344,6.46676e+07,6.46677e+07,92.8533
1.351,1.23761e+08,1.23761e+08,91.9286
1.358,2.40937e+08,2.40937e+08,90.9828
1.365,4.77248e+08,4.77248e+08,90.0168
1.372,9.62083e+08,9.62084e+08,89.0315
1.379,1.9743e+09,1.9743e+09,88.0276
1.386,4.12523e+09,4.12523e+09,87.0062
1.393,8.77856e+09,8.77856e+09,85.9681
1.4,1.90302e+10,1.90302e+10,84.9143
