Time,Lambda,Alpha,Stress_Model(MPa),Stress_NH(MPa),Phase
0,1,0,0,0,1_PassiveLoad
0.1,1.002,0,0.00052771,4.53301e-06,1_PassiveLoad
0.2,1.004,0,0.00106065,9.06605e-06,1_PassiveLoad
0.3,1.006,0,0.00159885,1.35992e-05,1_PassiveLoad
0.4,1.008,0,0.00214232,1.81324e-05,1_PassiveLoad
0.5,1.01,0,0.00269111,2.26657e-05,1_PassiveLoad
0.6,1.012,0,0.00324522,2.71993e-05,1_PassiveLoad
0.7,1.014,0,0.00380469,3.1733e-05,1_PassiveLoad
0.8,1.016,0,0.00436955,3.6267e-05,1_PassiveLoad
0.9,1.018,0,0.00493981,4.08013e-05,1_PassiveLoad
1,1.02,0,0.0055155,4.53359e-05,1_PassiveLoad
1.1,1.022,0,0.00609666,4.98709e-05,1_PassiveLoad
1.2,1.024,0,0.00668329,5.44062e-05,1_PassiveLoad
1.3,1.026,0,0.00727544,5.89419e-05,1_PassiveLoad
1.4,1.028,0,0.00787312,6.34781e-05,1_PassiveLoad
1.5,1.03,0,0.00847636,6.80148e-05,1_PassiveLoad
1.6,1.032,0,0.00908519,7.2552e-05,1_PassiveLoad
1.7,1.034,0,0.00969963,7.70897e-05,1_PassiveLoad
1.8,1.036,0,0.0103197,8.1628e-05,1_PassiveLoad
1.9,1.038,0,0.0109455,8.61669e-05,1_PassiveLoad
2,1.04,0,0.0115769,9.07065e-05,1_PassiveLoad
2.1,1.042,0,0.012214,9.52467e-05,1_PassiveLoad
2.2,1.044,0,0.0128569,9.97876e-05,1_PassiveLoad
2.3,1.046,0,0.0135056,0.000104329,1_PassiveLoad
2.4,1.048,0,0.01416,0.000108872,1_PassiveLoad
2.5,1.05,0,0.0148203,0.000113415,1_PassiveLoad
2.6,1.052,0,0.0154864,0.000117959,1_PassiveLoad
2.7,1.054,0,0.0161584,0.000122504,1_PassiveLoad
2.8,1.056,0,0.0168363,0.00012705,1_PassiveLoad
2.9,1.058,0,0.0175202,0.000131596,1_PassiveLoad
3,1.06,0,0.0182099,0.000136144,1_PassiveLoad
3.1,1.062,0,0.0189057,0.000140693,1_PassiveLoad
3.2,1.064,0,0.0196074,0.000145242,1_PassiveLoad
3.3,1.066,0,0.0203152,0.000149793,1_PassiveLoad
3.4,1.068,0,0.0210291,0.000154344,1_PassiveLoad
3.5,1.07,0,0.021749,0.000158897,1_PassiveLoad
3.6,1.072,0,0.0224751,0.000163451,1_PassiveLoad
3.7,1.074,0,0.0232072,0.000168006,1_PassiveLoad
3.8,1.076,0,0.0239456,0.000172562,1_PassiveLoad
3.9,1.078,0,0.0246901,0.00017712,1_PassiveLoad
4,1.08,0,0.0254409,0.000181678,1_PassiveLoad
4.1,1.082,0,0.0261979,0.000186238,1_PassiveLoad
4.2,1.084,0,0.0269612,0.000190799,1_PassiveLoad
4.3,1.086,0,0.0277308,0.000195361,1_PassiveLoad
4.4,1.088,0,0.0285067,0.000199925,1_PassiveLoad
4.5,1.09,0,0.0292889,0.00020449,1_PassiveLoad
4.6,1.092,0,0.0300776,0.000209057,1_PassiveLoad
4.7,1.094,0,0.0308726,0.000213625,1_PassiveLoad
4.8,1.096,0,0.0316741,0.000218194,1_PassiveLoad
4.9,1.098,0,0.0324821,0.000222765,1_PassiveLoad
5,1.1,0,0.0332965,0.000227337,1_PassiveLoad
5.1,1.102,0,0.0341175,0.000231911,1_PassiveLoad
5.2,1.104,0,0.034945,0.000236486,1_PassiveLoad
5.3,1.106,0,0.0357791,0.000241063,1_PassiveLoad
5.4,1.108,0,0.0366198,0.000245641,1_PassiveLoad
5.5,1.11,0,0.0374671,0.000250221,1_PassiveLoad
5.6,1.112,0,0.0383211,0.000254803,1_PassiveLoad
5.7,1.114,0,0.0391817,0.000259386,1_PassiveLoad
5.8,1.116,0,0.0400491,0.000263971,1_PassiveLoad
5.9,1.118,0,0.0409232,0.000268557,1_PassiveLoad
6,1.12,0,0.0418041,0.000273146,1_PassiveLoad
6.1,1.122,0,0.0426918,0.000277736,1_PassiveLoad
6.2,1.124,0,0.0435863,0.000282328,1_PassiveLoad
6.3,1.126,0,0.0444877,0.000286921,1_PassiveLoad
6.4,1.128,0,0.0453959,0.000291517,1_PassiveLoad
6.5,1.13,0,0.046311,0.000296114,1_PassiveLoad
6.6,1.132,0,0.0472331,0.000300713,1_PassiveLoad
6.7,1.134,0,0.0481622,0.000305314,1_PassiveLoad
6.8,1.136,0,0.0490982,0.000309917,1_PassiveLoad
6.9,1.138,0,0.0500413,0.000314522,1_PassiveLoad
